"","country","iq","rank"
"94","Marshall Islands","83.9600",94
"95","Cook Islands","83.9600",95
"96","Cuba","83.9000",96
"97","Bahrain","83.6000",97
"98","Brazil","83.3800",98
"99","Guyana","83.2300",99
"100","Colombia","83.1300",100
"101","Venezuela","82.9900",101
"102","Cayman Islands","82.2400",102
"103","Afghanistan","82.1200",103
"104","Haiti","82.1000",104
"105","Dominican Republic","82.0500",105
"106","United Arab Emirates","82.0500",106
"107","Puerto Rico","81.9900",107
"108","North Macedonia","81.9100",108
"109","Albania","81.7500",109
"110","Lebanon","81.7000",110
"111","Philippines","81.6400",111
"112","Peru","81.4400",112
"113","Northern Mariana Islands","81.3600",113
"114","Laos","80.9900",114
"115","Libya","80.9200",115
"116","Qatar","80.7800",116
"117","Jordan","80.7000",117
"118","Maldives","80.5400",118
"119","Iran","80.0100",119
"120","Pakistan","80",120
"121","Grenada","79.3400",121
"122","Tunisia","79.2200",122
"123","Kyrgyzstan","79.0900",123
"124","Panama","79",124
"125","Sudan","78.8700",125
"126","Chad","78.8700",126
"127","Seychelles","78.7600",127
"128","Oman","78.7000",128
"129","Kuwait","78.6400",129
"130","Indonesia","78.4900",130
"131","Papua New Guinea","78.4900",131
"132","Timor-Leste","78.4900",132
"133","Ecuador","78.2600",133
"134","Palestine","77.6900",134
"135","Senegal","77.3700",135
"136","Comoros","77.0700",136
"137","Madagascar","76.7900",137
"138","British Virgin Islands","76.6900",138
"139","Bolivia","76.5300",139
"140","Uganda","76.4200",140
"141","Saudi Arabia","76.3600",141
"142","Egypt","76.3200",142
"143","India","76.2400",143
"144","Algeria","76",144
"145","Kenya","75.2000",145
"146","Angola","75.1000",146
"147","Jamaica","75.0800",147
"148","Tanzania","74.9500",148
"149","Syria","74.4100",149
"150","Bangladesh","74.3300",150
"151","Zimbabwe","74.0100",151
"152","Burkina Faso","73.8000",152
"153","Saint Lucia","73.6800",153
"154","Mozambique","72.5000",154
"155","Burundi","72.0900",155
"156","Niger","70.8200",156
"157","Antigua and Barbuda","70.4800",157
"158","Saint Kitts and Nevis","70.4800",158
"159","Rwanda","69.9500",159
"160","Benin","69.7100",160
"161","Malawi","69.7000",161
"162","El Salvador","69.6300",162
"163","Botswana","69.4500",163
"164","South Africa","68.8700",164
"165","Lesotho","68.8700",165
"166","Eswatini","68.8700",166
"167","Eritrea","68.7700",167
"168","Zambia","68.4300",168
"169","Ethiopia","68.4200",169
"170","Djibouti","68.4100",170
"171","Nigeria","67.7600",171
"172","Cameroon","67.7600",172
"173","Somalia","67.6700",173
"174","Morocco","67.0300",174
"175","Namibia","66.1900",175
"176","Dominica","66.0300",176
"177","Sao Tome and Principe","65.2200",177
"178","DR Congo","64.9200",178
"179","Saint Vincent and the Grenadines","63.4200",179
"180","Republic of the Congo","62.9700",180
"181","Gabon","62.9700",181
"182","Yemen","62.8600",182
"183","Central African Republic","62.5500",183
"184","Belize","62.5500",184
"185","Honduras","62.1600",185
"186","Togo","59.8300",186
"187","Mali","59.7600",187
"188","Mauritania","59.7600",188
"189","South Sudan","58.6100",189
"190","Ghana","58.1600",190
"191","Ivory Coast","58.1600",191
"192","Guinea","53.4800",192
"193","Nicaragua","52.6900",193
"194","Gambia","52.6800",194
"195","Cape Verde","52.5000",195
"196","Guatemala","47.7200",196
"197","Sierra Leone","45.0700",197
"198","Liberia","45.0700",198
"199","Nepal","42.9900",199
